YEARMONTH,EPISODE_ID,EVENT_ID,LOCATION_INDEX,RANGE,AZIMUTH,LOCATION,LATITUDE,LONGITUDE,LAT2,LON2
201004,37612,218794,1,1.1,"NW","GAINESVILLE NORTH",29.68,-82.33,2940,8219
201004,37613,218796,1,0,"SE","VIENNA",37.42,-88.9,3725,8854
201004,37613,218796,2,2,"S","VIENNA",37.39,-88.9,3723,8854
201004,37613,218797,1,0,"N","MT VERNON",38.32,-88.9,3819,8854
201004,37613,218797,2,2,"E","MT VERNON",38.32,-88.86,3819,8851
201004,37613,218798,1,0,"N","KARNAK",37.28,-88.97,3716,8858
201004,37613,218799,1,0,"NW","KARNAK",37.28,-88.97,3716,8858
201004,37613,218800,1,1,"E","GRAND CHAIN",37.27,-89,3716,8900
201004,37613,221349,1,.5,"S","ELDORADO",37.81,-88.43,3748,8825
201004,37613,221349,2,2,"WSW","COTTAGEGROVE",37.74,-88.43,3744,8825
201004,37614,218801,1,4,"S","MADISONVILLE",37.27,-87.5,3716,8730
201004,37614,218801,2,0,"N","EARLINGTON",37.27,-87.52,3716,8731
201004,37614,218802,1,2,"NE","PHILPOT",37.75,-86.95,3745,8657
201004,37614,218803,1,2,"NNW","CADIZ",36.9,-87.83,3654,8749
201004,37614,218803,2,5,"SSW","CADIZ",36.8,-87.85,3648,8751
201004,37614,218804,1,0,"NW","HAZEL",36.5,-88.32,3630,8819
201004,37614,218804,2,0,"N","HAMLIN",36.6,-88.07,3636,8804
201004,37614,219272,1,.78,"SE","KENNEDY",36.64,-87.39,3638,8723
201004,37614,219272,2,1.18,"E","BARKERS MILL",36.67,-87.33,3640,8719
201004,37614,219273,1,2.48,"WSW","SOUTH ZION",36.67,-87.32,3640,8719
201004,37614,219273,2,3.5,"SE","TRENTON",36.68,-87.23,3640,8713
201004,37614,219274,1,2,"SW","PEMBROKE",36.76,-87.38,3645,8722
201004,37614,219274,2,0,"SE","PEMBROKE",36.78,-87.35,3646,8721
201004,37614,221171,1,0,"E","KEVIL",37.08,-88.9,3704,8854
201004,37614,221171,2,4.5,"ENE","INGLESIDE",37.14,-88.84,3708,8850
201004,37612,218786,1,1.93,"ENE","PHIFER",29.71,-82.34,2942,8220
201004,37612,218787,1,2.16,"SSE","PHIFER",29.67,-82.36,2940,8221
201004,37612,218788,1,5.22,"ESE","BRANFORD",29.94,-82.85,2956,8251
201004,37612,218789,1,.69,"N","AIR BASE",29.69,-82.28,2941,8216
